╭─zmakhkha@e2r10p11.1337.ma ~/Desktop/MINISHELL  ‹parsing*› 
╰─➤  make && ./minishell
make[1]: Nothing to be done for `all'.
MALC: 0x7fbb33c06b50, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33c06b00, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b10, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b30, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33c06b90, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33c06b00, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b10, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b30, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33c06d20, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33c06b00, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06bd0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b30, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33c06be0, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33c06b00, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06bd0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b30, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33c06c60, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33c06bd0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06c20, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b30, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33c06c30, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33c06bd0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06c20, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b30, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33c06cd0, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33c06c20, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06bd0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b30, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33c06eb0, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33c06e90, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06bd0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33c06b30, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33e040f0, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33e040a0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33e040b0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33e04080, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33e040d0, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33e040a0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33e040c0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33e04080, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33e04190, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33e040a0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33e040b0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33e04080, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33f040d0, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33f040a0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33f040c0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33f04080, LINE = 77, FILE = common_files/utils/ft_prompt.c
MALC: 0x7fbb33f04120, LINE = 19, FILE = execution/src/env/env.c
FREE: 0x7fbb33f040a0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33f040b0, LINE = 72, FILE = common_files/utils/ft_prompt.c
FREE: 0x7fbb33f04080, LINE = 77, FILE = common_files/utils/ft_prompt.c
